language	book	k	kmer	count	frequency
dutch	camera_obscura	3	EWY	14	3.8477183030462935e-05
dutch	camera_obscura	3	WYO	12	3.298044259753966e-05
dutch	camera_obscura	3	YOR	24	6.596088519507932e-05
dutch	camera_obscura	3	ORK	46	0.00012642502995723537
dutch	camera_obscura	3	RKC	7	1.9238591515231468e-05
dutch	camera_obscura	3	KCO	12	3.298044259753966e-05
dutch	camera_obscura	3	COP	6	1.649022129876983e-05
dutch	camera_obscura	3	OPY	2	5.4967404329232765e-06
dutch	camera_obscura	3	PYR	3	8.245110649384915e-06
dutch	camera_obscura	3	YRI	8	2.1986961731693106e-05
dutch	camera_obscura	3	RIG	59	0.00016215384277123665
dutch	camera_obscura	3	IGH	688	0.0018908787089256072
dutch	camera_obscura	3	GHT	997	0.0027401251058122534
dutch	camera_obscura	3	HTB	31	8.519947671031079e-05
dutch	camera_obscura	3	TBY	11	3.023207238107802e-05
dutch	camera_obscura	3	NYA	13	3.57288128140013e-05
dutch	camera_obscura	3	YAL	44	0.00012092828952431208
dutch	camera_obscura	3	ALL	561	0.001541835691434979
dutch	camera_obscura	3	LLR	14	3.8477183030462935e-05
dutch	camera_obscura	3	LRI	7	1.9238591515231468e-05
dutch	camera_obscura	3	HTS	65	0.00017864406407000648
dutch	camera_obscura	3	TSR	5	1.3741851082308191e-05
dutch	camera_obscura	3	SRE	64	0.00017589569385354485
dutch	camera_obscura	3	ESE	195	0.0005359321922100194
dutch	camera_obscura	3	SER	48	0.00013192177039015863
dutch	camera_obscura	3	ERV	55	0.0001511603619053901
dutch	camera_obscura	3	RVE	41	0.00011268317887492716
dutch	camera_obscura	3	VED	151	0.0004150039026857074
dutch	camera_obscura	3	PRI	61	0.00016765058320415994
dutch	camera_obscura	3	RIN	427	0.0011735540824291196
dutch	camera_obscura	3	INT	1269	0.003487681804689819
dutch	camera_obscura	3	NTE	299	0.0008217626947220299
dutch	camera_obscura	3	NTH	1438	0.003952156371271835
dutch	camera_obscura	3	HEU	30	8.245110649384915e-05
dutch	camera_obscura	3	EUN	63	0.0001731473236370832
dutch	camera_obscura	3	UNI	30	8.245110649384915e-05
dutch	camera_obscura	3	NIT	182	0.0005002033793960181
dutch	camera_obscura	3	ITE	281	0.0007722920308257204
dutch	camera_obscura	3	EDS	184	0.0005057001198289415
dutch	camera_obscura	3	DST	214	0.0005881512263227906
dutch	camera_obscura	3	STA	510	0.0014016688103954354
dutch	camera_obscura	3	ATE	331	0.0009097105416488023
dutch	camera_obscura	3	TES	104	0.0002858305025120104
dutch	camera_obscura	3	ESA	560	0.0015390873212185175
dutch	camera_obscura	3	SAT	172	0.0004727196772314018
